t, tm
12.070181, 0.008597
12.080181, 0.008161
12.090181, 0.007722
12.100182, 0.007281
12.110182, 0.006838
12.120182, 0.006393
12.130182, 0.005946
12.140182, 0.005498
12.150183, 0.005048
12.160183, 0.004596
12.170183, 0.004143
12.180183, 0.003688
12.190184, 0.003233
12.200184, 0.002776
12.210184, 0.002318
12.220184, 0.001859
12.230185, 0.001400
12.240185, 0.000939
12.250185, 0.000478
12.260185, 0.000017
12.270185, -0.000445
12.280186, -0.000907
12.290186, -0.001369
12.300186, -0.001831
12.310186, -0.002293
12.320187, -0.002755
12.330187, -0.003217
12.340187, -0.003679
12.350187, -0.004139
12.360188, -0.004600
12.370188, -0.005059
12.380188, -0.005518
12.390188, -0.005975
12.400188, -0.006432
12.410189, -0.006887
12.420189, -0.007341
12.430189, -0.007794
12.440189, -0.008245
12.450190, -0.008695
12.460190, -0.009143
12.470190, -0.009588
12.480190, -0.010032
12.490191, -0.010474
12.500191, -0.010914
12.510191, -0.011351
12.520191, -0.011786
12.530191, -0.012218
12.540192, -0.012647
12.550192, -0.013074
12.560192, -0.013498
12.570192, -0.013919
12.580193, -0.014336
12.590193, -0.014751
12.600193, -0.015162
12.610193, -0.015569
12.620193, -0.015973
12.630194, -0.016374
12.640194, -0.016770
12.650194, -0.017163
12.660194, -0.017552
12.670195, -0.017936
12.680195, -0.018316
12.690195, -0.018692
12.700195, -0.019064
